,Celastraceae,Ericaceae,Fabaceae,Betulaceae,Fagaceae,Rubiaceae,Apocynaceae,Lauraceae,Annonaceae,Passifloraceae,Phyllanthaceae,Salicaceae,Malvaceae,Combretaceae,Melastomataceae,Myrtaceae,Rosaceae,Anacardiaceae,Sapindaceae
Celastraceae,0,6,4,6,6,7,7,7,7,4,3,4,6,6,7,7,5,7,7
Ericaceae,6,0,6,8,8,3,3,5,5,8,7,8,6,6,7,7,7,7,7
Fabaceae,4,6,0,4,4,7,7,7,7,6,5,6,6,6,7,7,3,7,7
Betulaceae,6,8,4,0,2,9,9,9,9,8,7,8,8,8,9,9,3,9,9
Fagaceae,6,8,4,2,0,9,9,9,9,8,7,8,8,8,9,9,3,9,9
Rubiaceae,7,3,7,9,9,0,2,6,6,9,8,9,7,7,8,8,8,8,8
Apocynaceae,7,3,7,9,9,2,0,6,6,9,8,9,7,7,8,8,8,8,8
Lauraceae,7,5,7,9,9,6,6,0,2,9,8,9,7,7,8,8,8,8,8
Annonaceae,7,5,7,9,9,6,6,2,0,9,8,9,7,7,8,8,8,8,8
Passifloraceae,4,8,6,8,8,9,9,9,9,0,3,2,8,8,9,9,7,9,9
Phyllanthaceae,3,7,5,7,7,8,8,8,8,3,0,3,7,7,8,8,6,8,8
Salicaceae,4,8,6,8,8,9,9,9,9,2,3,0,8,8,9,9,7,9,9
Malvaceae,6,6,6,8,8,7,7,7,7,8,7,8,0,4,5,5,7,3,3
Combretaceae,6,6,6,8,8,7,7,7,7,8,7,8,4,0,3,3,7,5,5
Melastomataceae,7,7,7,9,9,8,8,8,8,9,8,9,5,3,0,2,8,6,6
Myrtaceae,7,7,7,9,9,8,8,8,8,9,8,9,5,3,2,0,8,6,6
Rosaceae,5,7,3,3,3,8,8,8,8,7,6,7,7,7,8,8,0,8,8
Anacardiaceae,7,7,7,9,9,8,8,8,8,9,8,9,3,5,6,6,8,0,2
Sapindaceae,7,7,7,9,9,8,8,8,8,9,8,9,3,5,6,6,8,2,0
