,Celastraceae,Ericaceae,Fabaceae,Betulaceae,Fagaceae,Rubiaceae,Apocynaceae,Lauraceae,Annonaceae,Passifloraceae,Phyllanthaceae,Salicaceae,Malvaceae,Combretaceae,Melastomataceae,Myrtaceae,Rosaceae,Anacardiaceae,Sapindaceae
Celastraceae,0,32,14,14,14,32,32,74,74,6,6,6,26,26,26,26,14,26,26
Ericaceae,32,0,32,32,32,4,4,74,74,32,32,32,32,32,32,32,32,32,32
Fabaceae,14,32,0,6,6,32,32,74,74,14,14,14,26,26,26,26,6,26,26
Betulaceae,14,32,6,0,2,32,32,74,74,14,14,14,26,26,26,26,4,26,26
Fagaceae,14,32,6,2,0,32,32,74,74,14,14,14,26,26,26,26,4,26,26
Rubiaceae,32,4,32,32,32,0,2,74,74,32,32,32,32,32,32,32,32,32,32
Apocynaceae,32,4,32,32,32,2,0,74,74,32,32,32,32,32,32,32,32,32,32
Lauraceae,74,74,74,74,74,74,74,0,2,74,74,74,74,74,74,74,74,74,74
Annonaceae,74,74,74,74,74,74,74,2,0,74,74,74,74,74,74,74,74,74,74
Passifloraceae,6,32,14,14,14,32,32,74,74,0,4,2,26,26,26,26,14,26,26
Phyllanthaceae,6,32,14,14,14,32,32,74,74,4,0,4,26,26,26,26,14,26,26
Salicaceae,6,32,14,14,14,32,32,74,74,2,4,0,26,26,26,26,14,26,26
Malvaceae,26,32,26,26,26,32,32,74,74,26,26,26,0,10,10,10,26,4,4
Combretaceae,26,32,26,26,26,32,32,74,74,26,26,26,10,0,4,4,26,10,10
Melastomataceae,26,32,26,26,26,32,32,74,74,26,26,26,10,4,0,2,26,10,10
Myrtaceae,26,32,26,26,26,32,32,74,74,26,26,26,10,4,2,0,26,10,10
Rosaceae,14,32,6,4,4,32,32,74,74,14,14,14,26,26,26,26,0,26,26
Anacardiaceae,26,32,26,26,26,32,32,74,74,26,26,26,4,10,10,10,26,0,2
Sapindaceae,26,32,26,26,26,32,32,74,74,26,26,26,4,10,10,10,26,2,0
