,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,1,0.87288552,0.8311192,0.87447293,0.89674003,0.88754508,0.64457833,0.90009795,0.86146787,0.84039257,0.72184993,0.94118932,0.31428183,0.420240295,0.353479197,0.33817491,0.3390135,0.35840549,0.35416724,0.44535281,0.42282088,0.4253853,0.43291684,0.30761905,0.26244307,0.32504437,0.31632317,0,0,0,0,0.41012502,0.41215201,0.383774899,0.34237342,0.434789798,0.45415916,0.43771214,0.444262397,0.42715693,0.42550305,0.43280468,0.43958345,0.45151695,0.45049801,0.45089626,0.44821442,0.44815461,0.44576363,0.44519771,0.43768135,0.44189288,0.39314511,0.40216199,0.39285422,0.33673209,0.40996996,0.40791085,0.430716596,0.42822428,0.40703451,0.39476189
Brexia,Celastraceae_2,0.87288552,1,0.86069836,0.94539614,0.91840339,0.92616942,0.66618542,0.92196978,0.91073648,0.8706475,0.74405876,0.91723767,0.3264476,0.43671349,0.36506201,0.34876143,0.34965342,0.37031884,0.36579593,0.46389705,0.43950102,0.44227243,0.45041954,0.31926491,0.27087267,0.33807491,0.328650595,0,0,0,0,0.42452329,0.42669548,0.39635409,0.35234965,0.4510062,0.47188203,0.45415139,0.46120687,0.44279872,0.44102175,0.44887061,0.45616623,0.46903024,0.46793081,0.46836049,0.46546755,0.46540305,0.46282501,0.46221497,0.45411824,0.45865367,0.40848997,0.41823318,0.40817593,0.34792648,0.42668422,0.42445424,0.44803828,0.4453421,0.42350546,0.410235699
Denhamia,Celastraceae_3,0.8311192,0.86069836,1,0.86228726,0.87355702,0.87537496,0.65356124,0.87687839,0.84927259,0.88319218,0.78755931,0.87247127,0.31932482,0.42706693,0.35829667,0.34258166,0.34344228,0.36335912,0.35900362,0.45302715,0.4297323,0.43238151,0.44016509,0.31244885,0.26595036,0.33044164,0.32143242,0,0,0,0,0.41610558,0.41819227,0.38900676,0.34653123,0.44151723,0.461504398,0.44453102,0.45128852,0.43364847,0.43194403,0.43947035,0.44646122,0.45877629,0.45772436,0.45813549,0.45536711,0.45530538,0.452837697,0.45225368,0.44449926,0.44884367,0.39950476,0.40881917,0.39920438,0.34138676,0.41689038,0.41476134,0.43789074,0.43531496,0.41385535,0.40117438
Elaeodendron,Celastraceae_4,0.87447293,0.94539614,0.86228726,1,0.92016084,0.9279455,0.66734364,0.92374092,0.91242972,0.87227338,0.74524589,0.91899065,0.32710318,0.43760162,0.36568241,0.34932763,0.35022252,0.37095726,0.36641883,0.46489932,0.44040055,0.44318334,0.45136436,0.31989193,0.27132389,0.33877808,0.32931506,0,0,0,0,0.42529634,0.42747647,0.39702787,0.35288202,0.45187881,0.47283738,0.45503622,0.46211943,0.44363983,0.44185611,0.44973496,0.45705893,0.46997405,0.46887021,0.46930161,0.46639707,0.46633231,0.46374399,0.46313153,0.45500294,0.45955615,0.40931713,0.41910031,0.40900182,0.34852637,0.42758679,0.42534739,0.44897313,0.44626572,0.42439462,0.41106995
Euonymus,Celastraceae_5,0.89674003,0.91840339,0.87355702,0.92016084,1,0.93464592,0.67555157,0.95235783,0.90577253,0.88380743,0.75364901,0.9430093,0.3317592,0.44391059,0.37007763,0.35333634,0.35425191,0.37548097,0.37083187,0.47202636,0.44679106,0.44965547,0.45807945,0.32434352,0.2745196,0.34377493,0.33403472,0,0,0,0,0.43077833,0.43301517,0.40180124,0.35664786,0.45807249,0.47962323,0.46131736,0.46859904,0.44960822,0.44777629,0.45586962,0.46339643,0.47667739,0.47554187,0.47598565,0.47299804,0.47293144,0.47026955,0.46963974,0.46128315,0.46596358,0.41519254,0.42526205,0.41486811,0.35277711,0.43400251,0.43169559,0.45561673,0.45282885,0.43071419,0.41699615
Maytenus,Celastraceae_6,0.88754508,0.92616942,0.87537496,0.9279455,0.93464592,1,0.67687443,0.93833983,0.91340505,0.88566833,0.75500174,0.93343863,0.33251127,0.44492986,0.37078577,0.3539818,0.35490073,0.37620996,0.37154291,0.47317901,0.44782363,0.45070133,0.45916491,0.32506231,0.27503435,0.34458253,0.33479715,0,0,0,0,0.43166246,0.43390851,0.40257031,0.35725367,0.45907233,0.48071948,0.46233143,0.46964541,0.45057141,0.44873164,0.45685985,0.46441967,0.477760196,0.47661951,0.47706531,0.47406418,0.47399727,0.47132341,0.47069078,0.46229707,0.466998198,0.4161417,0.42625786,0.41581579,0.35346211,0.43503973,0.432721797,0.45669054,0.45388955,0.43173574,0.41795359
Parnassia,Celastraceae_7,0.64457833,0.66618542,0.65356124,0.66734364,0.67555157,0.67687443,1,0.67796818,0.65784932,0.66053599,0.57086906,0.67476134,0.29965386,0.40045369,0.33937448,0.32524277,0.32601838,0.34391295,0.34000866,0.423193097,0.40279631,0.40512292,0.41194829,0.293590895,0.25216379,0.30942228,0.30150904,0,0,0,0,0.39267945,0.39453728,0.36845718,0.33012965,0.41523283,0.43286357,0.41789738,0.42386397,0.40826567,0.40675458,0.41342191,0.41960278,0.43046269,0.42953646,0.42989849,0.42745994,0.42740555,0.425230297,0.42471528,0.41786931,0.42170653,0.37470722,0.38288937,0.37444296,0.32311428,0.38996035,0.38809687,0.40995553,0.40769706,0.38730351,0.37617562
Paxistima,Celastraceae_8,0.90009795,0.92196978,0.87687839,0.92374092,0.95235783,0.93833983,0.67796818,1,0.90924131,0.88720735,0.75611985,0.94672339,0.33313344,0.44577313,0.37137123,0.35451536,0.35543706,0.37681268,0.37213076,0.47413287,0.44867791,0.45156664,0.46006306,0.32565689,0.27545987,0.34525074,0.33542791,0,0,0,0,0.43239358,0.43464728,0.40320614,0.35775431,0.45989934,0.4816264,0.46317024,0.47051099,0.45136806,0.44952178,0.45767891,0.46526608,0.47865598,0.47751102,0.47795848,0.47494614,0.47487899,0.47219519,0.47156022,0.46313576,0.46785404,0.41692695,0.42708179,0.41659981,0.35402847,0.43589799,0.43357093,0.45757902,0.45476715,0.432580997,0.418745699
Plagiopteron,Celastraceae_9,0.86146787,0.91073648,0.84927259,0.91242972,0.90577253,0.91340505,0.65784932,0.90924131,1,0.85895784,0.73550454,0.90463863,0.32173955,0.43033666,0.36059531,0.34468249,0.34555371,0.36572339,0.36131136,0.456708195,0.43304314,0.43573344,0.44363928,0.31476033,0.26762321,0.33302811,0.32387925,0,0,0,0,0.41896315,0.42107867,0.39150313,0.34851082,0.44473583,0.46502216,0.44779387,0.45465171,0.43675296,0.43502409,0.44265907,0.44975257,0.46225243,0.46118452,0.46160189,0.45879159,0.45872893,0.456224096,0.45563132,0.44776164,0.45217038,0.40255052,0.41200917,0.40224554,0.34360835,0.42020809,0.41804512,0.44132898,0.43871272,0.41712475,0.40424575
Siphonodon,Celastraceae_10,0.84039257,0.8706475,0.88319218,0.87227338,0.88380743,0.88566833,0.66053599,0.88720735,0.85895784,1,0.7644365,0.88269606,0.32325494,0.43238892,0.36203517,0.34599785,0.34687574,0.36720458,0.36275696,0.45902037,0.43512136,0.43783763,0.4458207,0.31621053,0.26867086,0.33465196,0.32541491,0,0,0,0,0.42075443,0.42288813,0.39306686,0.34974942,0.4467548,0.46722998,0.44984077,0.45676193,0.43869995,0.43695565,0.44465919,0.45181746,0.46443397,0.46335596,0.46377728,0.46094051,0.46087726,0.45834897,0.45775067,0.44980824,0.45425758,0.404462099,0.41401187,0.40415422,0.34500015,0.42229149,0.42010707,0.44348769,0.44084584,0.4191776,0.4061735
Stackhousia,Celastraceae_11,0.72184993,0.74405876,0.78755931,0.74524589,0.75364901,0.75500174,0.57086906,0.75611985,0.73550454,0.7644365,1,0.75284073,0.27367933,0.36537426,0.31383876,0.3017157,0.30238304,0.31771604,0.31438102,0.38421055,0.36732343,0.3692573,0.37491922,0.26861302,0.233513699,0.2818047,0.275225997,0,0,0,0,0.36133772,0.36291022,0.34072626,0.30769224,0.38034742,0.39508757,0.38258186,0.38757659,0.37449352,0.373221698,0.37882745,0.3840107,0.39308648,0.39231397,0.39261595,0.39058103,0.39053561,0.38871867,0.38828826,0.38255834,0.38577195,0.34200124,0.34880442,0.34178109,0.29849892,0.35466288,0.35312081,0.373267896,0.37139465,0.35246389,0.34322408
