,Celastrales,Ericales,Fabales,Fagales,Gentianales,Lamiales,Laurales,Magnoliales,Malpighiales,Malvales,Myrtales,Ranunculales,Rosales,Sapindales
Celastrales,0,4.60383256,3.87364877,6.51939997,5.44475087,5.44475087,5.43816891,5.43816891,2.19181215,5.29150262,4.19559655,4.3996503,6.51939997,5.29150262
Ericales,4.60383256,0,4.60383256,7.24958377,2.25877216,2.25877216,3.50134452,3.50134452,4.60383256,4.60383256,3.50792648,2.46282592,7.24958377,4.60383256
Fabales,3.87364877,4.60383256,0,4.83756336,5.44475087,5.44475087,5.43816891,5.43816891,3.87364877,5.29150262,4.19559655,4.3996503,4.83756336,5.29150262
Fagales,6.51939997,7.24958377,4.83756336,0,8.09050208,8.09050208,8.08392011,8.08392011,6.51939997,7.93725383,6.84134775,7.04540151,5.29150241,7.93725383
Gentianales,5.44475087,2.25877216,5.44475087,8.09050208,0,1.68183662,4.34226283,4.34226283,5.44475087,5.44475087,4.34884479,3.30374423,8.09050208,5.44475087
Lamiales,5.44475087,2.25877216,5.44475087,8.09050208,1.68183662,0,4.34226283,4.34226283,5.44475087,5.44475087,4.34884479,3.30374423,8.09050208,5.44475087
Laurales,5.43816891,3.50134452,5.43816891,8.08392011,4.34226283,4.34226283,0,1.12932183,5.43816891,5.43816891,4.34226283,2.16784043,8.08392011,5.43816891
Magnoliales,5.43816891,3.50134452,5.43816891,8.08392011,4.34226283,4.34226283,1.12932183,0,5.43816891,5.43816891,4.34226283,2.16784043,8.08392011,5.43816891
Malpighiales,2.19181215,4.60383256,3.87364877,6.51939997,5.44475087,5.44475087,5.43816891,5.43816891,0,5.29150262,4.19559655,4.3996503,6.51939997,5.29150262
Malvales,5.29150262,4.60383256,5.29150262,7.93725383,5.44475087,5.44475087,5.43816891,5.43816891,5.29150262,0,2.77774269,4.3996503,7.93725383,2.19181215
Myrtales,4.19559655,3.50792648,4.19559655,6.84134775,4.34884479,4.34884479,4.34226283,4.34226283,4.19559655,2.77774269,0,3.30374423,6.84134775,2.77774269
Ranunculales,4.3996503,2.46282592,4.3996503,7.04540151,3.30374423,3.30374423,2.16784043,2.16784043,4.3996503,4.3996503,3.30374423,0,7.04540151,4.3996503
Rosales,6.51939997,7.24958377,4.83756336,5.29150241,8.09050208,8.09050208,8.08392011,8.08392011,6.51939997,7.93725383,6.84134775,7.04540151,0,7.93725383
Sapindales,5.29150262,4.60383256,5.29150262,7.93725383,5.44475087,5.44475087,5.43816891,5.43816891,5.29150262,2.19181215,2.77774269,4.3996503,7.93725383,0
