Celastrales,Ericales,6.0
Sapindales,Gentianales,7.0
Magnoliales,Laurales,2.0
Ericales,Gentianales,3.0
Ericales,Ericales,0.0
Malpighiales,Fagales,5.0
Malpighiales,Gentianales,7.0
Ranunculales,Celastrales,6.0
Magnoliales,Sapindales,8.0
Rosales,Magnoliales,9.0
Sapindales,Rosales,7.0
Malvales,Malvales,0.0
Rosales,Laurales,9.0
Myrtales,Ericales,5.0
Laurales,Laurales,0.0
Laurales,Sapindales,8.0
Sapindales,Malvales,2.0
Fagales,Laurales,9.0
Ranunculales,Ranunculales,0.0
Malvales,Magnoliales,8.0
Magnoliales,Rosales,9.0
Rosales,Malvales,7.0
Ericales,Celastrales,6.0
Fabales,Rosales,3.0
Ranunculales,Fagales,7.0
Lamiales,Rosales,8.0
Fabales,Fagales,3.0
Fagales,Gentianales,8.0
Fabales,Ranunculales,6.0
Celastrales,Lamiales,7.0
Myrtales,Malpighiales,5.0
Magnoliales,Myrtales,7.0
Ranunculales,Malpighiales,6.0
Malpighiales,Lamiales,7.0
Myrtales,Celastrales,5.0
Fabales,Myrtales,5.0
Fagales,Fagales,0.0
Malpighiales,Celastrales,2.0
Myrtales,Sapindales,3.0
Ericales,Myrtales,5.0
Laurales,Celastrales,8.0
Rosales,Sapindales,7.0
Celastrales,Myrtales,5.0
Magnoliales,Lamiales,7.0
Celastrales,Fabales,4.0
Fagales,Ericales,7.0
Malpighiales,Ranunculales,6.0
Ranunculales,Ericales,4.0
Lamiales,Lamiales,0.0
Malvales,Gentianales,7.0
Malpighiales,Sapindales,6.0
Celastrales,Fagales,5.0
Malvales,Fagales,7.0
Malpighiales,Malpighiales,0.0
Fabales,Celastrales,4.0
Laurales,Fabales,8.0
Fagales,Malvales,7.0
Ranunculales,Laurales,4.0
Malpighiales,Ericales,6.0
Rosales,Ranunculales,7.0
Lamiales,Ranunculales,5.0
Celastrales,Laurales,8.0
Malvales,Ericales,6.0
Lamiales,Sapindales,7.0
Lamiales,Malpighiales,7.0
Gentianales,Magnoliales,7.0
Magnoliales,Malvales,8.0
Magnoliales,Malpighiales,8.0
Gentianales,Lamiales,2.0
Laurales,Ranunculales,4.0
Gentianales,Malvales,7.0
Laurales,Rosales,9.0
Rosales,Fagales,2.0
Ericales,Malvales,6.0
Malvales,Malpighiales,6.0
Fabales,Lamiales,7.0
Gentianales,Celastrales,7.0
Malvales,Rosales,7.0
Sapindales,Sapindales,0.0
Fabales,Malpighiales,4.0
Rosales,Malpighiales,5.0
Gentianales,Gentianales,0.0
Ranunculales,Gentianales,5.0
Celastrales,Ranunculales,6.0
Myrtales,Malvales,3.0
Celastrales,Magnoliales,8.0
Lamiales,Malvales,7.0
Ericales,Ranunculales,4.0
Laurales,Lamiales,7.0
Fabales,Laurales,8.0
Ranunculales,Fabales,6.0
Lamiales,Laurales,7.0
Sapindales,Myrtales,3.0
Myrtales,Gentianales,6.0
Rosales,Ericales,7.0
Ranunculales,Malvales,6.0
Fagales,Celastrales,5.0
Ericales,Fabales,6.0
Malpighiales,Rosales,5.0
Myrtales,Fagales,6.0
Lamiales,Celastrales,7.0
Sapindales,Lamiales,7.0
Myrtales,Ranunculales,5.0
Ericales,Rosales,7.0
Sapindales,Fagales,7.0
Magnoliales,Fagales,9.0
Fagales,Ranunculales,7.0
Myrtales,Laurales,7.0
Ranunculales,Lamiales,5.0
Myrtales,Lamiales,6.0
Myrtales,Fabales,5.0
Sapindales,Fabales,6.0
Sapindales,Laurales,8.0
Celastrales,Malvales,6.0
Rosales,Fabales,3.0
Fagales,Fabales,3.0
Fabales,Fabales,0.0
Gentianales,Myrtales,6.0
Lamiales,Fagales,8.0
Gentianales,Fabales,7.0
Fagales,Lamiales,8.0
Laurales,Malpighiales,8.0
Laurales,Myrtales,7.0
Rosales,Celastrales,5.0
Laurales,Malvales,8.0
Malpighiales,Malvales,6.0
Magnoliales,Ericales,6.0
Malvales,Myrtales,3.0
Fagales,Malpighiales,5.0
Lamiales,Fabales,7.0
Celastrales,Rosales,5.0
Gentianales,Fagales,8.0
Ericales,Magnoliales,6.0
Ericales,Sapindales,6.0
Sapindales,Celastrales,6.0
Gentianales,Laurales,7.0
Magnoliales,Fabales,8.0
Laurales,Ericales,6.0
Malvales,Fabales,6.0
Ericales,Malpighiales,6.0
Malpighiales,Magnoliales,8.0
Sapindales,Ranunculales,6.0
Lamiales,Myrtales,6.0
Celastrales,Malpighiales,2.0
Fabales,Magnoliales,8.0
Sapindales,Malpighiales,6.0
Fagales,Myrtales,6.0
Laurales,Magnoliales,2.0
