,Celastraceae,Ericaceae,Fabaceae,Betulaceae,Fagaceae,Rubiaceae,Apocynaceae,Lauraceae,Annonaceae,Passifloraceae,Phyllanthaceae,Salicaceae,Malvaceae,Combretaceae,Melastomataceae,Myrtaceae,Rosaceae,Anacardiaceae,Sapindaceae
Celastraceae,0,12,8,8,8,12,12,14,14,6,6,6,10,10,10,10,8,10,10
Ericaceae,12,0,12,12,12,4,4,14,14,12,12,12,12,12,12,12,12,12,12
Fabaceae,8,12,0,6,6,12,12,14,14,8,8,8,10,10,10,10,6,10,10
Betulaceae,8,12,6,0,2,12,12,14,14,8,8,8,10,10,10,10,4,10,10
Fagaceae,8,12,6,2,0,12,12,14,14,8,8,8,10,10,10,10,4,10,10
Rubiaceae,12,4,12,12,12,0,2,14,14,12,12,12,12,12,12,12,12,12,12
Apocynaceae,12,4,12,12,12,2,0,14,14,12,12,12,12,12,12,12,12,12,12
Lauraceae,14,14,14,14,14,14,14,0,2,14,14,14,14,14,14,14,14,14,14
Annonaceae,14,14,14,14,14,14,14,2,0,14,14,14,14,14,14,14,14,14,14
Passifloraceae,6,12,8,8,8,12,12,14,14,0,4,2,10,10,10,10,8,10,10
Phyllanthaceae,6,12,8,8,8,12,12,14,14,4,0,4,10,10,10,10,8,10,10
Salicaceae,6,12,8,8,8,12,12,14,14,2,4,0,10,10,10,10,8,10,10
Malvaceae,10,12,10,10,10,12,12,14,14,10,10,10,0,6,6,6,10,4,4
Combretaceae,10,12,10,10,10,12,12,14,14,10,10,10,6,0,4,4,10,6,6
Melastomataceae,10,12,10,10,10,12,12,14,14,10,10,10,6,4,0,2,10,6,6
Myrtaceae,10,12,10,10,10,12,12,14,14,10,10,10,6,4,2,0,10,6,6
Rosaceae,8,12,6,4,4,12,12,14,14,8,8,8,10,10,10,10,0,10,10
Anacardiaceae,10,12,10,10,10,12,12,14,14,10,10,10,4,6,6,6,10,0,2
Sapindaceae,10,12,10,10,10,12,12,14,14,10,10,10,4,6,6,6,10,2,0
