,Celastraceae,Ericaceae,Fabaceae,Betulaceae,Fagaceae,Rubiaceae,Apocynaceae,Lauraceae,Annonaceae,Passifloraceae,Phyllanthaceae,Salicaceae,Malvaceae,Combretaceae,Melastomataceae,Myrtaceae,Rosaceae,Anacardiaceae,Sapindaceae
Celastraceae,0,3.92832139,3.09969047,6.84134775,6.84134775,4.63724832,4.63724832,4.34226283,4.34226283,5.423493898,2.77774269,5.423493898,4.34884479,4.34884479,5.44475087,5.44475087,4.19559655,5.44475087,5.44475087
Ericaceae,3.92832139,0,3.92832139,7.66997867,7.66997867,1.95808125,1.95808125,2.79241759,2.79241759,7.66997867,5.02422746,7.66997867,3.92832139,3.92832139,5.02422746,5.02422746,5.02422746,5.02422746,5.02422746
Fabaceae,3.09969047,3.92832139,0,5.423493898,5.423493898,4.63724832,4.63724832,4.34226283,4.34226283,6.84134775,4.19559655,6.84134775,4.34884479,4.34884479,5.44475087,5.44475087,2.77774269,5.44475087,5.44475087
Betulaceae,6.84134775,7.66997867,5.423493898,0,5.29150241,8.378905597,8.378905597,8.08392011,8.08392011,10.58300504,7.93725383,10.58300504,8.09050208,8.09050208,9.18640815,9.18640815,4.83756336,9.18640815,9.18640815
Fagaceae,6.84134775,7.66997867,5.423493898,5.29150241,0,8.378905597,8.378905597,8.08392011,8.08392011,10.58300504,7.93725383,10.58300504,8.09050208,8.09050208,9.18640815,9.18640815,4.83756336,9.18640815,9.18640815
Rubiaceae,4.63724832,1.95808125,4.63724832,8.378905597,8.378905597,0,1.41785385,3.50134452,3.50134452,8.378905597,5.73315439,8.378905597,4.63724832,4.63724832,5.73315439,5.73315439,5.73315439,5.73315439,5.73315439
Apocynaceae,4.63724832,1.95808125,4.63724832,8.378905597,8.378905597,1.41785385,0,3.50134452,3.50134452,8.378905597,5.73315439,8.378905597,4.63724832,4.63724832,5.73315439,5.73315439,5.73315439,5.73315439,5.73315439
Lauraceae,4.34226283,2.79241759,4.34226283,8.08392011,8.08392011,3.50134452,3.50134452,0,1.12932183,8.08392011,5.43816891,8.08392011,4.34226283,4.34226283,5.43816891,5.43816891,5.43816891,5.43816891,5.43816891
Annonaceae,4.34226283,2.79241759,4.34226283,8.08392011,8.08392011,3.50134452,3.50134452,1.12932183,0,8.08392011,5.43816891,8.08392011,4.34226283,4.34226283,5.43816891,5.43816891,5.43816891,5.43816891,5.43816891
Passifloraceae,5.423493898,7.66997867,6.84134775,10.58300504,10.58300504,8.378905597,8.378905597,8.08392011,8.08392011,0,4.83756336,5.29150241,8.09050208,8.09050208,9.18640815,9.18640815,7.93725383,9.18640815,9.18640815
Phyllanthaceae,2.77774269,5.02422746,4.19559655,7.93725383,7.93725383,5.73315439,5.73315439,5.43816891,5.43816891,4.83756336,0,4.83756336,5.44475087,5.44475087,6.54065694,6.54065694,5.29150262,6.54065694,6.54065694
Salicaceae,5.423493898,7.66997867,6.84134775,10.58300504,10.58300504,8.378905597,8.378905597,8.08392011,8.08392011,5.29150241,4.83756336,0,8.09050208,8.09050208,9.18640815,9.18640815,7.93725383,9.18640815,9.18640815
Malvaceae,4.34884479,3.92832139,4.34884479,8.09050208,8.09050208,4.63724832,4.63724832,4.34226283,4.34226283,8.09050208,5.44475087,8.09050208,0,3.09969047,4.19559655,4.19559655,5.44475087,2.77774269,2.77774269
Combretaceae,4.34884479,3.92832139,4.34884479,8.09050208,8.09050208,4.63724832,4.63724832,4.34226283,4.34226283,8.09050208,5.44475087,8.09050208,3.09969047,0,2.77774269,2.77774269,5.44475087,4.19559655,4.19559655
Melastomataceae,5.44475087,5.02422746,5.44475087,9.18640815,9.18640815,5.73315439,5.73315439,5.43816891,5.43816891,9.18640815,6.54065694,9.18640815,4.19559655,2.77774269,0,2.19181215,6.54065694,5.29150262,5.29150262
Myrtaceae,5.44475087,5.02422746,5.44475087,9.18640815,9.18640815,5.73315439,5.73315439,5.43816891,5.43816891,9.18640815,6.54065694,9.18640815,4.19559655,2.77774269,2.19181215,0,6.54065694,5.29150262,5.29150262
Rosaceae,4.19559655,5.02422746,2.77774269,4.83756336,4.83756336,5.73315439,5.73315439,5.43816891,5.43816891,7.93725383,5.29150262,7.93725383,5.44475087,5.44475087,6.54065694,6.54065694,0,6.54065694,6.54065694
Anacardiaceae,5.44475087,5.02422746,5.44475087,9.18640815,9.18640815,5.73315439,5.73315439,5.43816891,5.43816891,9.18640815,6.54065694,9.18640815,2.77774269,4.19559655,5.29150262,5.29150262,6.54065694,0,2.19181215
Sapindaceae,5.44475087,5.02422746,5.44475087,9.18640815,9.18640815,5.73315439,5.73315439,5.43816891,5.43816891,9.18640815,6.54065694,9.18640815,2.77774269,4.19559655,5.29150262,5.29150262,6.54065694,2.19181215,0
