,Celastraceae,Ericaceae,Fabaceae,Betulaceae,Fagaceae,Rubiaceae,Apocynaceae,Lauraceae,Annonaceae,Passifloraceae,Phyllanthaceae,Salicaceae,Malvaceae,Combretaceae,Melastomataceae,Myrtaceae,Rosaceae,Anacardiaceae,Sapindaceae
Celastraceae,0.00,2.46,1.81,1.81,1.81,2.46,2.46,2.56,2.56,1.20,1.20,1.20,2.29,2.29,2.29,2.29,1.81,2.29,2.29
Ericaceae,2.46,0.00,2.46,2.46,2.46,0.95,0.95,2.56,2.56,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46
Fabaceae,1.81,2.46,0.00,1.20,1.20,2.46,2.46,2.56,2.56,1.81,1.81,1.81,2.29,2.29,2.29,2.29,1.20,2.29,2.29
Betulaceae,1.81,2.46,1.20,0.00,0.60,2.46,2.46,2.56,2.56,1.81,1.81,1.81,2.29,2.29,2.29,2.29,0.95,2.29,2.29
Fagaceae,1.81,2.46,1.20,0.60,0.00,2.46,2.46,2.56,2.56,1.81,1.81,1.81,2.29,2.29,2.29,2.29,0.95,2.29,2.29
Rubiaceae,2.46,0.95,2.46,2.46,2.46,0.00,0.60,2.56,2.56,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46
Apocynaceae,2.46,0.95,2.46,2.46,2.46,0.60,0.00,2.56,2.56,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46
Lauraceae,2.56,2.56,2.56,2.56,2.56,2.56,2.56,0.00,0.60,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
Annonaceae,2.56,2.56,2.56,2.56,2.56,2.56,2.56,0.60,0.00,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
Passifloraceae,1.20,2.46,1.81,1.81,1.81,2.46,2.46,2.56,2.56,0.00,0.95,0.60,2.29,2.29,2.29,2.29,1.81,2.29,2.29
Phyllanthaceae,1.20,2.46,1.81,1.81,1.81,2.46,2.46,2.56,2.56,0.95,0.00,0.95,2.29,2.29,2.29,2.29,1.81,2.29,2.29
Salicaceae,1.20,2.46,1.81,1.81,1.81,2.46,2.46,2.56,2.56,0.60,0.95,0.00,2.29,2.29,2.29,2.29,1.81,2.29,2.29
Malvaceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,0.00,1.56,1.56,1.56,2.29,0.95,0.95
Combretaceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,1.56,0.00,0.95,0.95,2.29,1.56,1.56
Melastomataceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,1.56,0.95,0.00,0.60,2.29,1.56,1.56
Myrtaceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,1.56,0.95,0.60,0.00,2.29,1.56,1.56
Rosaceae,1.81,2.46,1.20,0.95,0.95,2.46,2.46,2.56,2.56,1.81,1.81,1.81,2.29,2.29,2.29,2.29,0.00,2.29,2.29
Anacardiaceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,0.95,1.56,1.56,1.56,2.29,0.00,0.60
Sapindaceae,2.29,2.46,2.29,2.29,2.29,2.46,2.46,2.56,2.56,2.29,2.29,2.29,0.95,1.56,1.56,1.56,2.29,0.60,0.00
