,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,0,242,245,241,187,164,480,150,213,231,467,89,766,443,385,28,498,757,619,622,704,696,605,604,902,542,701,694,767,615,930,712,710,741,857,577,645,267,433,456,711,593,664,561,530,577,656,557,679,571,631,583,679,712,546,621,346,560,579,717,598,607
Brexia,Celastraceae_2,242,0,270,111,370,157,1243,128,136,192,560,134,1187,1419,1024,672,1415,915,963,1716,1917,1050,944,1495,1544,1125,1213,1181,1293,1728,2034,843,912,1340,1702,689,913,407,582,606,1698,732,798,674,656,852,775,692,1628,706,745,693,1490,1550,1811,1789,1057,1617,733,1891,1605,1759
Denhamia,Celastraceae_3,245,270,0,196,258,243,393,166,194,161,361,165,884,544,398,29,684,656,593,713,797,797,776,791,785,667,798,573,650,728,1024,781,773,804,926,697,722,415,606,629,789,738,740,698,659,719,717,703,773,713,713,726,734,776,654,712,515,611,640,807,685,702
Elaeodendron,Celastraceae_4,241,111,196,0,149,118,439,126,140,189,423,130,729,407,398,28,515,717,599,583,663,658,580,574,851,512,648,624,697,572,881,648,648,690,804,531,588,253,421,441,657,552,626,515,485,545,589,514,640,528,574,536,601,644,517,583,330,510,563,677,521,541
Euonymus,Celastraceae_5,187,370,258,149,0,135,1165,81,135,166,510,93,1181,1396,1014,662,1403,883,962,1640,1873,1003,917,1507,1530,1151,1198,1145,1274,1687,2034,856,919,1344,1708,688,875,408,587,608,1632,732,795,667,653,805,784,688,1583,699,749,694,1506,1501,1758,1770,1040,1578,704,1838,1593,1715
Maytenus,Celastraceae_6,164,157,243,118,135,0,373,85,129,157,375,90,835,499,390,32,661,652,591,659,752,744,721,754,763,627,751,570,636,686,980,744,736,769,900,665,671,387,570,587,750,695,699,658,623,671,680,662,726,669,674,679,681,702,614,679,494,571,607,751,636,659
Parnassia,Celastraceae_7,480,1243,393,439,1165,373,0,341,373,349,796,343,900,1217,989,710,1152,852,866,1652,1789,865,796,1246,1527,872,905,1227,1354,1469,1848,628,687,1146,1471,494,758,294,385,401,1639,508,627,486,462,675,573,481,1531,499,574,499,1319,1409,1676,1674,906,1529,625,1726,1472,1649
Paxistima,Celastraceae_8,150,128,166,126,81,85,341,0,140,183,364,83,696,375,438,26,556,706,650,556,618,611,599,609,811,479,606,611,683,489,844,541,538,566,670,554,483,246,443,475,533,509,508,479,453,583,484,467,538,490,483,500,593,619,462,582,365,433,583,621,529,573
Plagiopteron,Celastraceae_9,213,136,194,140,135,129,373,140,0,197,386,141,623,299,356,29,469,638,565,516,571,569,548,531,715,426,538,536,606,507,765,536,544,571,674,492,511,255,387,420,557,529,527,490,460,558,488,479,571,505,496,508,504,555,484,502,294,458,531,569,445,508
Siphonodon,Celastraceae_10,231,192,161,189,166,157,349,183,197,0,345,177,668,378,425,36,538,676,623,576,618,626,596,580,797,458,571,577,645,485,815,534,517,548,637,552,488,254,448,495,539,504,518,462,441,582,474,468,537,478,468,479,586,615,445,557,375,430,592,608,517,558
Stackhousia,Celastraceae_11,467,560,361,423,510,375,796,364,386,345,0,356,828,498,474,42,587,1012,684,942,1000,1002,725,680,911,585,975,862,966,756,1240,743,754,778,886,666,932,327,543,556,910,664,746,650,620,881,697,645,996,648,716,680,720,986,844,622,448,754,685,1001,656,781
Tripterygium,Celastraceae_12,89,134,165,130,93,90,343,83,141,177,356,0,690,356,428,26,552,682,628,548,611,611,584,597,797,485,600,601,671,498,844,537,537,560,663,564,499,251,449,489,535,517,509,484,453,586,486,472,539,495,486,506,581,610,464,582,366,441,566,596,530,563
