,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,0,0.05602021,0.07593057,0.05522021,0.04484746,0.04874107,0.16932225,0.04322719,0.06186121,0.07096931,0.14398987,0.02557373,0.28430905,0.23748608,0.314852,0.336891196,0.33563204,0.30815826,0.31390592,0.21438799,0.23498601,0.23253165,0.22549146,0.29328927,0.36620539,0.27058073,0.28163339,0.28893154,0.29044223,0.359991098,0.34902188,0.26873379,0.26649322,0.300013898,0.35888713,0.24288976,0.22456213,0.24002068,0.23372695,0.25056867,0.25226884,0.24486079,0.23820352,0.22696961,0.22790558,0.22753926,0.23001867,0.230074295,0.23231056,0.23284337,0.24005072,0.23598213,0.24961732,0.2403949,0.2499219,0.31852773,0.23273668,0.23472784,0.2275227,0.229848795,0.23558137,0.24793269
Brexia,Celastraceae_2,0.05602021,0,0.06047905,0.023176895,0.03417792,0.03085942,0.15387073,0.03255766,0.03848117,0.05551779,0.12853835,0.03471026,0.26885752,0.22203455,0.29940048,0.32143968,0.32018051,0.29270673,0.298454398,0.19893647,0.21953449,0.21708013,0.21003993,0.27783775,0.35075387,0.25512921,0.26618187,0.27348002,0.27499071,0.34453958,0.33357036,0.25328227,0.2510417,0.28456238,0.34343561,0.22743824,0.2091106,0.22456916,0.21827542,0.23511715,0.23681732,0.22940927,0.222751995,0.21151809,0.21245405,0.21208773,0.21456714,0.21462277,0.21685904,0.21739185,0.224599196,0.22053061,0.2341658,0.22494338,0.23447038,0.30307621,0.21728516,0.21927632,0.21207118,0.21439727,0.22012985,0.23248117
Denhamia,Celastraceae_3,0.07593057,0.06047905,0,0.05967904,0.05408827,0.05319991,0.16277437,0.05246801,0.06632005,0.05117365,0.10858307,0.05462061,0.27776117,0.230938195,0.30830412,0.33034332,0.32908416,0.30161037,0.30735804,0.20784011,0.22843813,0.22598377,0.21894357,0.28674139,0.35965751,0.26403285,0.27508551,0.28238366,0.28389435,0.35344322,0.342473999,0.26218591,0.25994534,0.29346602,0.35233925,0.23634188,0.21801424,0.2334728,0.22717906,0.24402079,0.24572096,0.23831291,0.23165564,0.22042173,0.22135769,0.22099138,0.22347079,0.22352641,0.22576268,0.22629549,0.23350284,0.22943425,0.24306944,0.23384702,0.24337402,0.31197985,0.226188797,0.22817996,0.22097482,0.22330092,0.22903349,0.24138481
Elaeodendron,Celastraceae_4,0.05522021,0.023176895,0.05967904,0,0.03337792,0.03005942,0.15307073,0.03175765,0.03768116,0.05471778,0.12773834,0.03391025,0.26805752,0.22123455,0.29860048,0.32063967,0.31938051,0.29190673,0.29765439,0.19813646,0.21873448,0.21628012,0.20923993,0.27703774,0.34995387,0.25432921,0.26538187,0.27268001,0.2741907,0.34373957,0.33277035,0.25248226,0.250241698,0.28376237,0.3426356,0.22663823,0.208310599,0.22376916,0.21747542,0.23431714,0.23601731,0.22860926,0.22195199,0.21071808,0.21165405,0.21128773,0.21376714,0.21382277,0.21605903,0.21659185,0.22379919,0.2197306,0.233365798,0.22414338,0.23367038,0.3022762,0.21648515,0.21847631,0.21127118,0.21359727,0.21932984,0.23168117
Euonymus,Celastraceae_5,0.04484746,0.03417792,0.05408827,0.03337792,0,0.02689878,0.14747996,0.01957395,0.04001892,0.04912702,0.12214758,0.0235375,0.26246675,0.21564378,0.29300971,0.31504891,0.31378974,0.28631596,0.29206363,0.192545695,0.21314372,0.21068936,0.20364916,0.27144698,0.3443631,0.24873844,0.2597911,0.26708925,0.26859994,0.33814881,0.32717959,0.24689149,0.24465093,0.27817161,0.33704484,0.22104747,0.20271983,0.21817839,0.21188465,0.22872638,0.23042655,0.223018496,0.21636122,0.20512731,0.20606328,0.20569696,0.20817637,0.208232,0.21046827,0.21100108,0.21820843,0.21413984,0.22777503,0.21855261,0.22807961,0.29668543,0.21089439,0.21288555,0.20568041,0.2080065,0.21373908,0.226090399
Maytenus,Celastraceae_6,0.04874107,0.03085942,0.05319991,0.03005942,0.02689878,0,0.14659159,0.02527852,0.03670042,0.04823865,0.12125921,0.02743112,0.26157839,0.21475542,0.29212134,0.31416054,0.31290138,0.28542759,0.29117526,0.19165733,0.21225535,0.20980099,0.20276079,0.27055861,0.34347473,0.24785007,0.25890273,0.26620088,0.26771157,0.33726044,0.32629122,0.24600313,0.24376256,0.27728324,0.33615647,0.220159097,0.20183146,0.21729002,0.21099628,0.22783801,0.22953818,0.22213013,0.21547286,0.20423895,0.20517491,0.20480859,0.20728801,0.20734363,0.209579898,0.21011271,0.21732006,0.21325147,0.22688666,0.21766424,0.22719124,0.29579707,0.21000602,0.21199718,0.20479204,0.20711814,0.21285071,0.22520203
Parnassia,Celastraceae_7,0.16932225,0.15387073,0.16277437,0.15307073,0.14747996,0.14659159,0,0.145859698,0.15971173,0.15781311,0.23083368,0.1480123,0.30454898,0.25772601,0.33509194,0.35713113,0.35587197,0.32839819,0.33414585,0.23462792,0.25522594,0.25277158,0.24573139,0.3135292,0.38644533,0.29082067,0.30187333,0.30917147,0.31068216,0.38023103,0.36926181,0.28897372,0.28673316,0.32025383,0.37912706,0.26312969,0.24480206,0.26026062,0.25396688,0.2708086,0.27250877,0.26510072,0.25844345,0.24720954,0.24814551,0.24777919,0.250258599,0.25031423,0.25255049,0.25308331,0.26029065,0.25622206,0.26985726,0.26063484,0.27016184,0.33876766,0.25297661,0.25496777,0.24776264,0.25008873,0.2558213,0.26817262
Paxistima,Celastraceae_8,0.04322719,0.03255766,0.05246801,0.03175765,0.01957395,0.02527852,0.145859698,0,0.03839866,0.04750675,0.12052732,0.02191724,0.26084649,0.21402352,0.29138945,0.31342864,0.31216948,0.2846957,0.29044336,0.19092543,0.21152345,0.20906909,0.2020289,0.26982671,0.34274284,0.24711818,0.25817084,0.26546898,0.26697967,0.33652854,0.32555933,0.24527123,0.24303067,0.27655134,0.33542457,0.2194272,0.20109957,0.21655813,0.21026439,0.22710611,0.22880629,0.22139823,0.21474096,0.20350705,0.20444302,0.2040767,0.20655611,0.20661174,0.20884801,0.20938082,0.21658816,0.21251957,0.22615477,0.21693235,0.22645935,0.29506517,0.20927412,0.21126528,0.20406015,0.20638624,0.21211881,0.22447014
Plagiopteron,Celastraceae_9,0.06186121,0.03848117,0.06632005,0.03768116,0.04001892,0.03670042,0.15971173,0.03839866,0,0.06135879,0.13437935,0.04055126,0.27469853,0.22787556,0.30524148,0.32728068,0.32602152,0.29854774,0.304295399,0.20477747,0.22537549,0.22292113,0.21588094,0.28367875,0.35659487,0.26097021,0.27202288,0.27932102,0.28083171,0.35038058,0.33941136,0.25912327,0.2568827,0.29040338,0.34927661,0.23327924,0.21495161,0.23041016,0.22411643,0.24095815,0.24265832,0.23525027,0.228592996,0.21735909,0.21829506,0.21792874,0.22040815,0.22046378,0.22270004,0.22323285,0.230440197,0.22637161,0.2400068,0.23078438,0.24031138,0.30891721,0.22312616,0.22511732,0.21791218,0.22023828,0.22597085,0.23832217
Siphonodon,Celastraceae_10,0.07096931,0.05551779,0.05117365,0.05471778,0.04912702,0.04823865,0.15781311,0.04750675,0.06135879,0,0.11923296,0.04965936,0.27279991,0.22597694,0.30334287,0.32538206,0.324122896,0.29664912,0.30239678,0.20287885,0.22347687,0.22102251,0.21398232,0.28178013,0.35469625,0.25907159,0.27012426,0.277422398,0.27893309,0.34848196,0.33751274,0.25722465,0.25498409,0.28850476,0.34737799,0.23138062,0.21305299,0.22851154,0.22221781,0.23905953,0.2407597,0.23335165,0.22669438,0.21546047,0.21639644,0.21603012,0.21850953,0.21856516,0.22080142,0.22133424,0.22854158,0.22447299,0.23810819,0.22888577,0.23841276,0.30701859,0.22122754,0.223218698,0.21601356,0.21833966,0.22407223,0.23642355
