,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,0,0.02576309,0.03047965,0.02579885,0.01998949,0.02022553,0.05552396,0.01907675,0.02753029,0.02982112,0.05382847,0.011339997,0.085576499,0.07935801,0.0988901,0.03002417,0.12693469,0.09302523,0.10209993,0.06979375,0.07875688,0.07730345,0.07781202,0.10267874,0.11466655,0.11012305,0.08946033,0.09080034,0.09120416,0.10154333,0.10665031,0.087537098,0.08739459,0.09400529,0.10621639,0.08387196,0.07075327,0.06250485,0.08211877,0.08671226,0.07959295,0.08645449,0.07435941,0.08121972,0.08007294,0.07640349,0.07956716,0.08058409,0.08028584,0.08302597,0.08480437,0.08461978,0.08336006,0.07890093,0.07907238,0.079152799,0.09091956,0.08294881,0.07486744,0.07921299,0.07376474,0.07069926
Brexia,Celastraceae_2,0.02576309,0,0.03109554,0.01176567,0.01685066,0.01794001,0.06384703,0.01631509,0.01737736,0.02458178,0.05095509,0.0172099,0.09231391,0.092190097,0.14135959,0.15817542,0.16983839,0.07759685,0.10772811,0.0828461,0.09207441,0.07321613,0.08320987,0.12452719,0.11039514,0.112153896,0.08950191,0.08505983,0.08784262,0.12132148,0.11908043,0.09102122,0.09830707,0.09824421,0.14526816,0.09198797,0.07619177,0.08321243,0.09890498,0.10383041,0.08905619,0.09683898,0.08383897,0.09036253,0.08990307,0.0816058,0.08746081,0.09202522,0.09200296,0.09425355,0.08198118,0.09293094,0.09773207,0.08891009,0.09642359,0.1079546,0.11965575,0.08808811,0.08357886,0.09101604,0.090373599,0.08705345
Denhamia,Celastraceae_3,0.03047965,0.03109554,0,0.024481296,0.03002125,0.02782428,0.05339069,0.02111355,0.02491883,0.02056871,0.04521014,0.02111479,0.10811762,0.11318666,0.10211799,0.03121325,0.155736597,0.09571639,0.09737861,0.08758435,0.09757961,0.09670153,0.09303856,0.12334671,0.11858424,0.16281035,0.11318738,0.08993596,0.09137205,0.13522916,0.12730367,0.10576289,0.10482115,0.11247272,0.12758935,0.09338071,0.08642088,0.08586977,0.10435162,0.10821033,0.096403,0.09916961,0.09150606,0.09327091,0.09142684,0.0885354,0.09615256,0.09410978,0.09384124,0.0958083,0.09859311,0.09728419,0.09972495,0.09410146,0.10527612,0.10031313,0.11730786,0.10220161,0.08081294,0.09739631,0.09347207,0.08962589
Elaeodendron,Celastraceae_4,0.02579885,0.01176567,0.024481296,0,0.01600335,0.01466854,0.05094079,0.01620018,0.01810414,0.02446288,0.04892271,0.01678473,0.08169913,0.07283668,0.10298159,0.03017318,0.13156273,0.08753953,0.09832901,0.06567302,0.07434903,0.073364595,0.07497102,0.0971842,0.10733712,0.10318521,0.08222038,0.08129235,0.08272471,0.09418714,0.10127693,0.07909759,0.0793238,0.08695978,0.09894088,0.07682402,0.06454698,0.05891256,0.07962439,0.08378301,0.07333538,0.08013684,0.07040944,0.07406884,0.07305691,0.07259373,0.07114581,0.07422047,0.07594978,0.07629671,0.07654361,0.07747639,0.0729825,0.07152013,0.075127997,0.07406015,0.08681309,0.07530063,0.07328581,0.07518077,0.06373811,0.06309692
Euonymus,Celastraceae_5,0.01998949,0.01685066,0.03002125,0.01600335,0,0.01554234,0.06021355,0.01037466,0.017596095,0.02161211,0.0470118,0.01199352,0.09239112,0.09017682,0.14040492,0.15491403,0.16787471,0.07539484,0.10767883,0.07909403,0.08925626,0.07021747,0.081363997,0.12538628,0.10940059,0.11327445,0.08881593,0.08300885,0.08685399,0.11820054,0.11911296,0.09322964,0.09950064,0.09828181,0.14621167,0.09282528,0.07377373,0.08482469,0.10125092,0.10533075,0.08595652,0.09813416,0.08438763,0.09003994,0.09065748,0.07816782,0.08897973,0.09214052,0.08942502,0.09378714,0.08340703,0.09395069,0.09867261,0.08628659,0.09370344,0.10710944,0.11764102,0.08589517,0.08133782,0.08859489,0.08965907,0.084925399
Maytenus,Celastraceae_6,0.02022553,0.01794001,0.02782428,0.01466854,0.01554234,0,0.05061645,0.01070887,0.0164939,0.020048198,0.04702101,0.01143382,0.10166759,0.10315116,0.09998047,0.0341739,0.15003989,0.09513056,0.09689476,0.08059224,0.09166378,0.08992042,0.08610068,0.11691721,0.11512106,0.15210661,0.10603944,0.08947676,0.0891089,0.12707099,0.12149621,0.10052983,0.09940898,0.10745639,0.12382601,0.08894356,0.07999639,0.07993102,0.0978485,0.10060553,0.09145065,0.09311809,0.08617224,0.08770483,0.08619624,0.08225756,0.09063842,0.08816975,0.08777425,0.08952785,0.09297583,0.09056257,0.09215863,0.08454973,0.09840656,0.09550264,0.11259142,0.09519861,0.07641349,0.09016415,0.08644275,0.08388805
Parnassia,Celastraceae_7,0.05552396,0.06384703,0.05339069,0.05094079,0.06021355,0.05061645,0,0.04777781,0.052373,0.04886452,0.07738968,0.04850296,0.08153417,0.09024871,0.14800033,0.16909021,0.16684848,0.07636893,0.10839225,0.08711219,0.09475648,0.06792161,0.08209829,0.12281705,0.11519502,0.10502176,0.07708111,0.09330087,0.09670109,0.11754996,0.12204887,0.07716281,0.08462819,0.09156168,0.1373444,0.07750174,0.06970214,0.06847099,0.08030358,0.0842608,0.09179691,0.07969695,0.07448569,0.07631077,0.07548579,0.07235174,0.07443472,0.07553894,0.09270197,0.078919799,0.07208605,0.078336695,0.09892287,0.09093493,0.09861483,0.10873925,0.12357568,0.09263807,0.08115553,0.09124706,0.09261764,0.09013354
Paxistima,Celastraceae_8,0.01907675,0.01631509,0.02111355,0.01620018,0.01037466,0.01070887,0.04777781,0,0.01794969,0.02245203,0.04721086,0.01008902,0.08977189,0.08546371,0.11012517,0.02770383,0.13903715,0.10194051,0.10530091,0.07222673,0.07983346,0.07819675,0.07564922,0.10139566,0.12079254,0.132518296,0.09188496,0.09507137,0.09492888,0.09976427,0.11097064,0.08147469,0.08090333,0.08834454,0.10159856,0.07897188,0.06350163,0.05732082,0.08232722,0.08844694,0.07162903,0.07623737,0.06859983,0.07130135,0.07049134,0.07431581,0.07196454,0.06935613,0.07188987,0.07328833,0.07461254,0.07454944,0.08554312,0.07901728,0.08162979,0.08441664,0.09287445,0.07897768,0.07416827,0.07890557,0.07629114,0.07520598
Plagiopteron,Celastraceae_9,0.02753029,0.01737736,0.02491883,0.01810414,0.017596095,0.0164939,0.052373,0.01794969,0,0.0253715,0.05010684,0.01821007,0.08403688,0.07431321,0.09730619,0.03036339,0.12879486,0.09656065,0.09677949,0.07092281,0.07786425,0.07653238,0.07239879,0.09372125,0.11150631,0.12907337,0.08523559,0.08759642,0.08817568,0.10393848,0.10492614,0.08059947,0.08240911,0.08925398,0.10223599,0.07366463,0.06766807,0.05877153,0.07675478,0.08406166,0.07514334,0.07939186,0.07148577,0.07340827,0.07159888,0.07385435,0.07320975,0.07177701,0.07682043,0.07621898,0.0765395,0.07623245,0.07594365,0.07422084,0.08605323,0.07653069,0.08265433,0.08400487,0.07069608,0.075907099,0.06719224,0.069559095
