,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,0,0.58642879,0.22961602,0.04314616,0.58995281,0.21940356,0.596844499,0.22022741,0.21018519,0.23922734,0.29299785,0.21928336,0.39184582,0.73711862,0.72706323,0.93136455,0.75036227,0.42958912,0.55524528,0.62929023,0.62285542,0.440302298,0.45546255,0.67633096,0.56329729,0.71230242,0.5485242,0.55382496,0.51302903,0.68660134,0.56286746,0.27338525,0.27784355,0.51943419,0.44161313,0.3724466,0.30089118,0.59349358,0.51854268,0.51825843,0.57664906,0.35954519,0.155628499,0.34565512,0.37982196,0.43627638,0.22422085,0.34847901,0.58298881,0.35313912,0.36229595,0.34731235,0.55479835,0.54066836,0.70126023,0.61079791,0.76231606,0.70259535,0.370327296,0.61204101,0.62765059,0.62852734
Brexia,Celastraceae_2,0.58642879,0,0.61830367,0.58271211,0.04120409,0.6134972,0.15403683,0.659129599,0.65415169,0.66134032,0.51973217,0.66183469,0.45563956,0.34935842,0.69548708,0.81927497,0.65287887,0.49830332,0.62261195,0.15038825,0.12815117,0.38966626,0.51850726,0.5115692,0.42643339,0.59311065,0.44290774,0.40876994,0.37470105,0.39142731,0.28191005,0.59963623,0.59934319,0.41325674,0.5028981,0.68083898,0.48078796,0.78757444,0.74931129,0.75166287,0.17666048,0.67309059,0.58688219,0.6769988,0.68382973,0.55428422,0.61630589,0.67443202,0.24187028,0.67604134,0.60542797,0.67728765,0.35625406,0.26309405,0.19441016,0.30049197,0.62788164,0.20901259,0.63852376,0.12198926,0.27224955,0.14407735
Denhamia,Celastraceae_3,0.22961602,0.61830367,0,0.23296661,0.62468048,0.03282715,0.66668199,0.16187513,0.14023577,0.16947705,0.350864197,0.16627282,0.44805511,0.77568427,0.712443095,0.92797372,0.69675142,0.54165808,0.52780876,0.66334535,0.65748998,0.49053608,0.35562961,0.62033297,0.64530198,0.76458246,0.59731227,0.64186931,0.60334399,0.72237991,0.59723373,0.34395604,0.348494496,0.56630353,0.50348011,0.22321905,0.36287678,0.47607948,0.398188598,0.39444027,0.61381483,0.20301496,0.24545455,0.18621766,0.22525898,0.32622184,0.304901397,0.19402324,0.583752397,0.19796505,0.351308997,0.18924347,0.60072403,0.58288382,0.73264428,0.64951965,0.70212766,0.73856827,0.30283401,0.64682435,0.66574508,0.66297685
Elaeodendron,Celastraceae_4,0.04314616,0.58271211,0.23296661,0,0.591664096,0.227693197,0.59747087,0.23199762,0.20894142,0.23984948,0.294608896,0.23331012,0.39259878,0.73581081,0.72853226,0.93154253,0.75011566,0.42151331,0.55063675,0.63009923,0.62294163,0.44170845,0.45785372,0.673391895,0.55639832,0.70788076,0.54320403,0.54916557,0.50974566,0.68421895,0.56307676,0.26158666,0.26838639,0.51307025,0.43351979,0.36545846,0.29899891,0.58893741,0.51464944,0.51587749,0.57348871,0.35281136,0.15842252,0.33586375,0.37387128,0.439491899,0.21625012,0.34417527,0.58383309,0.34406419,0.35151836,0.34081851,0.54634721,0.5407342,0.70176447,0.60779922,0.76198411,0.70034355,0.37419087,0.61350902,0.62224208,0.62805765
Euonymus,Celastraceae_5,0.58995281,0.04120409,0.62468048,0.591664096,0,0.61873485,0.167024398,0.6620953,0.66417582,0.669881498,0.53061941,0.66446626,0.46206331,0.34476926,0.69707775,0.81834285,0.65190149,0.50483801,0.62371984,0.15169127,0.11765973,0.39548437,0.52440551,0.51165624,0.4278929,0.58637164,0.44851585,0.41701263,0.38050151,0.39088465,0.28401522,0.60570647,0.60299576,0.41198287,0.50660851,0.68596621,0.49054949,0.79227949,0.75445458,0.75552847,0.18579762,0.67955728,0.59400353,0.68068117,0.68997135,0.56446385,0.62039735,0.67826241,0.24383837,0.678972,0.61312935,0.68202277,0.35621184,0.26859308,0.19858778,0.30547975,0.62816167,0.21012067,0.64599958,0.12734244,0.27330677,0.14779006
Maytenus,Celastraceae_6,0.21940356,0.6134972,0.03282715,0.227693197,0.61873485,0,0.66596214,0.14907567,0.13431841,0.16890738,0.35255408,0.15688803,0.44418928,0.77339308,0.71194539,0.9273979,0.69511054,0.54134048,0.52654656,0.66101407,0.65516201,0.4875246,0.35165358,0.61700043,0.644559699,0.76225578,0.59466148,0.64156488,0.60146169,0.72089041,0.59520481,0.34178026,0.34437267,0.56523643,0.50244837,0.22135694,0.35940061,0.47495567,0.39518791,0.39095003,0.61242188,0.19991208,0.24172566,0.18322566,0.221916299,0.32143161,0.29794783,0.18752769,0.58105656,0.19314538,0.34892716,0.183441196,0.59827442,0.57863886,0.73087329,0.64861845,0.70185159,0.73722365,0.29972115,0.64409304,0.66384075,0.66127326
Parnassia,Celastraceae_7,0.596844499,0.15403683,0.66668199,0.59747087,0.167024398,0.66596214,0,0.67160632,0.66631849,0.67148183,0.52316154,0.67486721,0.53129884,0.43113514,0.7009211,0.8045826,0.70707384,0.49589142,0.64746533,0.21421608,0.20881103,0.44928939,0.58210596,0.58712821,0.42689278,0.6607562,0.51519238,0.40686977,0.36970872,0.46322323,0.36465499,0.63443375,0.63668818,0.44221633,0.52650923,0.7177576,0.50956905,0.80015119,0.78705589,0.78860794,0.20235154,0.71440333,0.6200138,0.71325589,0.72507096,0.58548496,0.65459954,0.71393901,0.26680615,0.71641654,0.64127188,0.71295275,0.43747294,0.34502013,0.26557232,0.32784229,0.68509317,0.28601855,0.66971274,0.19799488,0.34694308,0.22374647
Paxistima,Celastraceae_8,0.22022741,0.659129599,0.16187513,0.23199762,0.6620953,0.14907567,0.67160632,0,0.08182571,0.04424779,0.35911044,0.02298714,0.47263612,0.79323816,0.69146556,0.92375654,0.72096727,0.51508171,0.49477587,0.67977266,0.67323191,0.51378478,0.38369876,0.64133366,0.62697003,0.79042668,0.62082156,0.62485037,0.58329874,0.74548361,0.61701797,0.42347618,0.424887397,0.61629902,0.55388471,0.26574025,0.43128466,0.53438049,0.43679265,0.43630505,0.65215528,0.30813953,0.32274886,0.29278748,0.33121491,0.334946,0.38773996,0.294638098,0.626125896,0.30173423,0.43382091,0.29354943,0.62109375,0.60084186,0.75564673,0.65353317,0.73119034,0.75918606,0.27662569,0.6621669,0.68110495,0.66659232
Plagiopteron,Celastraceae_9,0.21018519,0.65415169,0.14023577,0.20894142,0.66417582,0.13431841,0.66631849,0.08182571,0,0.08872873,0.33786492,0.08883369,0.49523346,0.81015888,0.71498241,0.91989511,0.74583002,0.53582757,0.52146465,0.69751206,0.69069017,0.53727555,0.40964717,0.66090898,0.64207447,0.80799856,0.63524203,0.64147438,0.60084258,0.74196705,0.63182172,0.40194817,0.41149153,0.60780378,0.541708398,0.29888746,0.42021858,0.505826698,0.47050652,0.47557317,0.64736408,0.28031305,0.30176488,0.27004454,0.30288302,0.35487518,0.37411517,0.27525978,0.62188926,0.282608695,0.41215654,0.27104471,0.63572865,0.61861987,0.75331839,0.66919036,0.75638782,0.75649989,0.30666667,0.67787704,0.69421721,0.67934977
