,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Celastrus,Celastraceae_1,0,0.02531116,0.02984166,0.02533908,0.01971742,0.01993679,0.053398598,0.0188253,0.026996197,0.02919985,0.05183705,0.01125016,0.08057221,0.07512294,0.09221557,0.0293809,0.11613806,0.08717181,0.09505528,0.06645299,0.07447371,0.07319382,0.07363681,0.09540357,0.1056701,0.10170764,0.08396215,0.08523704,0.08549771,0.09461538,0.09887306,0.0823788,0.08217593,0.0880152,0.09873272,0.078986995,0.06727159,0.05962483,0.07732143,0.08141403,0.07526996,0.08127741,0.07056323,0.07660795,0.07561706,0.07233296,0.07522073,0.07604096,0.07586592,0.07822989,0.07990376,0.07962305,0.07850619,0.07455497,0.07477403,0.07496379,0.08520069,0.07833263,0.07096458,0.0749138,0.07006444,0.06720549
Brexia,Celastraceae_2,0.02531116,0,0.03043968,0.01166579,0.01665167,0.0177041,0.06106608,0.016127,0.01715223,0.02415398,0.04916162,0.01700723,0.08654127,0.08637692,0.127984,0.14162276,0.15086896,0.07351169,0.09994811,0.07814919,0.08628139,0.06955946,0.07849006,0.114078595,0.10192092,0.10349586,0.08409012,0.08009495,0.08249856,0.11148387,0.10940778,0.08542764,0.0917505,0.09166781,0.13156064,0.08620043,0.07221959,0.07846539,0.09216152,0.09648145,0.08357533,0.09043736,0.07900208,0.08469465,0.08432961,0.07704829,0.08222812,0.08618757,0.08622881,0.08815083,0.07737848,0.08700565,0.09119843,0.08351293,0.09016679,0.10019041,0.11015006,0.08283387,0.07870718,0.08533779,0.08484881,0.08181395
Denhamia,Celastraceae_3,0.02984166,0.03043968,0,0.024066797,0.02940506,0.02728804,0.05140615,0.02080461,0.024479495,0.02026942,0.04376819,0.02081494,0.10027223,0.10463551,0.09503343,0.03052632,0.13976298,0.08950744,0.09096487,0.08239917,0.09111695,0.09038331,0.08722041,0.11309694,0.10887656,0.14518938,0.10458716,0.08441367,0.08551506,0.12313938,0.11637686,0.09830082,0.09741651,0.103996895,0.116963496,0.08745295,0.08129715,0.08081792,0.09689799,0.10030298,0.09010964,0.09246962,0.0857971,0.08729365,0.08570685,0.08315984,0.08987215,0.08804008,0.08782095,0.08951664,0.092,0.09084084,0.09287612,0.08800181,0.09788954,0.093598,0.10826151,0.09526037,0.07629038,0.09098083,0.08761832,0.08413231
Elaeodendron,Celastraceae_4,0.02533908,0.01166579,0.024066797,0,0.01582245,0.01450879,0.04911613,0.016012199,0.01786398,0.02403051,0.04724146,0.016590096,0.07705317,0.06920592,0.09567308,0.02953586,0.11987896,0.08228139,0.09177264,0.06264775,0.07045696,0.06959281,0.07105231,0.09057914,0.099288297,0.0956473,0.07750269,0.07671502,0.07790321,0.08812202,0.09416417,0.07480951,0.07494795,0.08176324,0.09238194,0.07267999,0.06156423,0.05635999,0.07509811,0.07883447,0.06959009,0.07564753,0.06692324,0.07017305,0.06925603,0.0688653,0.06761566,0.07032426,0.07192628,0.07220019,0.07247475,0.07325407,0.0691918,0.06786806,0.07120231,0.07035115,0.08160237,0.07143858,0.06947187,0.07121818,0.06092855,0.06024499
Euonymus,Celastraceae_5,0.01971742,0.01665167,0.02940506,0.01582245,0,0.01536885,0.05772757,0.01029617,0.01736334,0.02128478,0.04549509,0.0118941,0.08659628,0.08459068,0.12706767,0.13895886,0.149207699,0.07152114,0.09986505,0.07478681,0.08379188,0.06683993,0.07681997,0.11474911,0.10105013,0.10443698,0.08347269,0.07828525,0.08165096,0.10879659,0.10941955,0.08737369,0.09279079,0.09166553,0.13233129,0.08689063,0.07004483,0.07982782,0.09411576,0.09768638,0.08081208,0.09151144,0.07947616,0.08437698,0.08495967,0.07397537,0.08356427,0.08625878,0.08395206,0.087714895,0.07864343,0.0878481,0.091980699,0.08120097,0.08776397,0.09942145,0.10837849,0.08086916,0.07671352,0.08318624,0.08419217,0.07991985
Maytenus,Celastraceae_6,0.01993679,0.0177041,0.02728804,0.01450879,0.01536885,0,0.04880283,0.01062234,0.01628582,0.01975837,0.04547659,0.01134073,0.09464974,0.09592464,0.09312321,0.03333333,0.13503575,0.08893739,0.09050536,0.07614096,0.08589377,0.08439201,0.08104766,0.10759132,0.10589868,0.13648237,0.09842726,0.08393462,0.0835084,0.11623179,0.11140161,0.09371457,0.09267187,0.099611398,0.11376564,0.08350075,0.07557157,0.075512195,0.09118541,0.09366523,0.08571429,0.08714734,0.08103408,0.08234264,0.08103538,0.07754536,0.08498938,0.08278104,0.08243443,0.08397138,0.08703512,0.08490684,0.08622436,0.07954674,0.09188866,0.08937739,0.10410959,0.08912127,0.07233079,0.08461018,0.08140279,0.07899784
Parnassia,Celastraceae_7,0.053398598,0.06106608,0.05140615,0.04911613,0.05772757,0.04880283,0,0.04615593,0.05039859,0.04716854,0.07334378,0.04685152,0.07694281,0.08467854,0.13332435,0.15020097,0.14843448,0.07237513,0.10046404,0.08181863,0.08849864,0.064643898,0.07727405,0.1125158,0.10601958,0.09726715,0.07293094,0.08728747,0.09021855,0.10820566,0.11176969,0.07301477,0.07965217,0.08579771,0.12490447,0.07327203,0.06623558,0.06498674,0.07563851,0.07915515,0.08592849,0.07523697,0.07056043,0.07220324,0.07143962,0.06858362,0.0705665,0.07149227,0.086737295,0.07451098,0.06848825,0.073991696,0.09217331,0.08518227,0.09193637,0.100794797,0.1131934,0.08677639,0.07641521,0.085424399,0.086736197,0.0844342
Paxistima,Celastraceae_8,0.0188253,0.016127,0.02080461,0.016012199,0.01029617,0.01062234,0.04615593,0,0.01771031,0.02209344,0.04565981,0.010016895,0.08415961,0.08043758,0.10188416,0.02713987,0.126077097,0.09486697,0.09780319,0.06859117,0.07536585,0.07392619,0.07167644,0.09425785,0.11079235,0.120170597,0.08596964,0.08882105,0.08859774,0.09287749,0.10243962,0.07685751,0.07631206,0.08289397,0.09465951,0.074632897,0.06060986,0.054849498,0.07747464,0.08299843,0.068019397,0.07215764,0.06528724,0.06767448,0.06694252,0.07040213,0.068303697,0.06592321,0.06823082,0.06947398,0.07070707,0.07060152,0.08031965,0.07457831,0.07698717,0.07962786,0.08700834,0.07473248,0.07030873,0.07455877,0.07229739,0.07120666
Plagiopteron,Celastraceae_9,0.026996197,0.01715223,0.024479495,0.01786398,0.01736334,0.01628582,0.05039859,0.01771031,0,0.02490518,0.04834669,0.01797552,0.07909102,0.07048562,0.09079317,0.02971311,0.11757333,0.09015119,0.0904,0.06731898,0.07354456,0.07237344,0.06869751,0.08752266,0.10281852,0.11725846,0.08009528,0.08223381,0.08264012,0.09651628,0.09721693,0.07609313,0.07763665,0.08368753,0.09519774,0.06982685,0.064373897,0.05619216,0.07244478,0.07902164,0.07115483,0.07495041,0.06785117,0.06955287,0.06793679,0.06996865,0.06940691,0.06808813,0.07260936,0.07208107,0.07240876,0.07209764,0.0717642,0.07025316,0.08086884,0.07249097,0.07790143,0.07914291,0.06708781,0.07179811,0.06403799,0.066077
