,Celastrales,Ericales,Fabales,Fagales,Gentianales,Lamiales,Laurales,Magnoliales,Malpighiales,Malvales,Myrtales,Ranunculales,Rosales,Sapindales
Celastrales,0,10,6,6,10,10,14,14,2,8,8,12,6,8
Ericales,10,0,10,10,4,4,14,14,10,10,10,12,10,10
Fabales,6,10,0,4,10,10,14,14,6,8,8,12,4,8
Fagales,6,10,4,0,10,10,14,14,6,8,8,12,2,8
Gentianales,10,4,10,10,0,2,14,14,10,10,10,12,10,10
Lamiales,10,4,10,10,2,0,14,14,10,10,10,12,10,10
Laurales,14,14,14,14,14,14,0,2,14,14,14,14,14,14
Magnoliales,14,14,14,14,14,14,2,0,14,14,14,14,14,14
Malpighiales,2,10,6,6,10,10,14,14,0,8,8,12,6,8
Malvales,8,10,8,8,10,10,14,14,8,0,4,12,8,2
Myrtales,8,10,8,8,10,10,14,14,8,4,0,12,8,4
Ranunculales,12,12,12,12,12,12,14,14,12,12,12,0,12,12
Rosales,6,10,4,2,10,10,14,14,6,8,8,12,0,8
Sapindales,8,10,8,8,10,10,14,14,8,2,4,12,8,0
